Token Snapshot: 0.0.7829347

Serial,Owner,Spender,Name,Image,Attributes
637,"0.0.1348095",null,null,null,null
636,"0.0.458059",null,null,null,null
635,"0.0.725455",null,null,null,null
634,"0.0.8142971",null,null,null,null
633,"0.0.445590",null,null,null,null
632,"0.0.1348095",null,null,null,null
631,"0.0.4870694",null,null,null,null
630,"0.0.1708350",null,null,null,null
629,"0.0.458059",null,null,null,null
628,"0.0.458059",null,null,null,null
627,"0.0.1433899",null,null,null,null
626,"0.0.7821112","0.0.1064038",null,null,null
625,"0.0.4870694",null,null,null,null
624,"0.0.4870694",null,null,null,null
623,"0.0.7763952",null,null,null,null
622,"0.0.8147681",null,null,null,null
621,"0.0.445590",null,null,null,null
620,"0.0.4641568",null,null,null,null
619,"0.0.973559",null,null,null,null
618,"0.0.4701500",null,null,null,null
617,"0.0.7931945",null,null,null,null
616,"0.0.725455",null,null,null,null
615,"0.0.445590",null,null,null,null
614,"0.0.4870694",null,null,null,null
613,"0.0.1348095",null,null,null,null
612,"0.0.4958794",null,null,null,null
611,"0.0.725455",null,null,null,null
610,"0.0.512044",null,null,null,null
609,"0.0.4870694",null,null,null,null
608,"0.0.458059",null,null,null,null
607,"0.0.1704972",null,null,null,null
606,"0.0.4641568",null,null,null,null
605,"0.0.1704972",null,null,null,null
604,"0.0.4870694",null,null,null,null
603,"0.0.1348095",null,null,null,null
602,"0.0.4641568",null,null,null,null
601,"0.0.1348095",null,null,null,null
600,"0.0.7931945",null,null,null,null
599,"0.0.4904643",null,null,null,null
598,"0.0.7763952",null,null,null,null
597,"0.0.1348095",null,null,null,null
596,"0.0.634576",null,null,null,null
595,"0.0.7843266",null,null,null,null
594,"0.0.458059",null,null,null,null
593,"0.0.725455",null,null,null,null
592,"0.0.4701500",null,null,null,null
591,"0.0.458059",null,null,null,null
590,"0.0.7763952",null,null,null,null
589,"0.0.4641568",null,null,null,null
588,"0.0.1348095",null,null,null,null
587,"0.0.4958794",null,null,null,null
